Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,GR Events,GFP Events,H1-LL Events,mCherry Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,GFP % Total,H1-LL % Total,mCherry % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,GR Mean FITC-A,GFP Mean FITC-A,H1-LL Mean FITC-A,mCherry Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,GR Mean ECD-A,GFP Mean ECD-A,H1-LL Mean ECD-A,mCherry Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,GR Mean FSC-A,GFP Mean FSC-A,H1-LL Mean FSC-A,mCherry Mean FSC-A,All Events  rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P1 rCV FSC-A,V2L rCV FSC-A,V2R rCV FSC-A,GR rCV FSC-A,GFP rCV FSC-A,H1-LL rCV FSC-A,mCherry rCV FSC-A,All Events  rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,P1 rCV FITC-A,V2L rCV FITC-A,V2R rCV FITC-A,GR rCV FITC-A,GFP rCV FITC-A,H1-LL rCV FITC-A,mCherry rCV FITC-A,All Events  rCV ECD-A,V1L rCV ECD-A,V1R rCV ECD-A,P1 rCV ECD-A,V2L rCV ECD-A,V2R rCV ECD-A,GR rCV ECD-A,GFP rCV ECD-A,H1-LL rCV ECD-A,mCherry rCV ECD-A
#24,,100000,59675,8321,67996,4785,63211,361,7972,10917,48746,100.00%,59.68%,8.32%,68.00%,4.79%,63.21%,0.36%,7.97%,10.92%,48.75%,100.00%,87.76%,12.24%,68.00%,7.04%,92.96%,0.53%,11.72%,16.06%,71.69%,15483.4,134.2,49452.1,6169.5,11673.6,5752.8,105449.4,46843.5,-9.2,166.1,23374.1,25941.8,3152.9,23153.0,326.4,24880.9,71522.3,1978.9,15245.7,28028.5,44025.7,40895.8,44060.6,41283.1,38117.3,41522.7,48543.1,43869.9,37835.7,41578.3,52.85%,36.83%,38.13%,37.07%,36.42%,37.00%,37.80%,38.01%,35.75%,36.81%,107.01%,97.93%,67.28%,100.30%,173.39%,99.49%,125.72%,65.52%,154.65%,71.29%,74.29%,49.02%,59.85%,60.74%,137.68%,53.05%,125.48%,57.17%,73.31%,46.54%
#25,0.06,100000,22264,47836,70100,48507,21593,429,47418,4145,18108,100.00%,22.26%,47.84%,70.10%,48.51%,21.59%,0.43%,47.42%,4.15%,18.11%,100.00%,31.76%,68.24%,70.10%,69.20%,30.80%,0.61%,67.64%,5.91%,25.83%,27138.5,131.7,28188.5,19277.5,26753.1,2484.3,54246.6,27946.4,-15.5,164.8,11308.4,31800.5,1399.4,11054.9,1160.8,33281.2,47924.9,1201.8,17687.7,34464.6,51617.0,41450.0,43765.3,43030.0,43546.8,41869.0,49380.0,43717.5,38469.4,42123.2,50.80%,35.40%,36.95%,36.57%,36.81%,35.60%,44.49%,36.90%,34.04%,35.47%,137.33%,102.64%,40.75%,102.90%,41.57%,102.68%,71.57%,40.58%,129.29%,72.35%,96.94%,52.74%,55.14%,85.44%,56.22%,50.13%,97.64%,54.73%,69.24%,51.38%
#26,,100000,63142,8798,71940,11792,60148,349,8463,12162,50966,100.00%,63.14%,8.80%,71.94%,11.79%,60.15%,0.35%,8.46%,12.16%,50.97%,100.00%,87.77%,12.23%,71.94%,16.39%,83.61%,0.49%,11.76%,16.91%,70.85%,16639.5,127.3,52863.8,6576.8,28670.0,2245.4,115317.0,50203.0,-15.1,160.9,23452.9,26267.7,3136.7,23438.8,1301.2,27778.9,69623.0,2094.3,16142.3,28408.1,46118.2,41522.6,45142.5,41965.3,42545.4,41851.6,48766.0,45013.0,38614.8,42212.1,48.39%,35.35%,37.14%,35.73%,37.37%,35.41%,37.97%,37.18%,34.15%,35.30%,108.82%,101.79%,66.88%,103.12%,145.85%,102.19%,140.90%,64.72%,142.28%,71.67%,74.10%,49.24%,60.38%,60.70%,92.08%,45.71%,120.05%,58.50%,68.76%,46.86%
#27,0.09,100000,23315,49620,72935,50189,22746,411,49222,3716,19586,100.00%,23.32%,49.62%,72.93%,50.19%,22.75%,0.41%,49.22%,3.72%,19.59%,100.00%,31.97%,68.03%,72.93%,68.81%,31.19%,0.56%,67.49%,5.09%,26.85%,26770.4,145.3,28569.2,19483.0,27204.2,2446.2,64435.0,28262.5,-9.9,174.1,11915.4,32866.4,1376.2,11442.6,1170.5,34108.1,54259.8,1206.3,17992.9,35026.4,50522.6,41230.7,43304.6,42641.6,43096.3,41638.4,49866.9,43250.0,37519.2,41932.9,48.43%,34.84%,36.27%,35.94%,36.16%,35.06%,45.60%,36.18%,32.86%,34.95%,138.71%,94.12%,40.81%,104.60%,41.46%,93.48%,82.31%,40.62%,129.12%,70.82%,95.25%,50.58%,54.10%,84.14%,55.04%,48.43%,93.39%,53.79%,65.57%,49.25%
#28,,100000,65254,8894,74148,12101,62047,385,8522,11884,53357,100.00%,65.25%,8.89%,74.15%,12.10%,62.05%,0.38%,8.52%,11.88%,53.36%,100.00%,88.01%,11.99%,74.15%,16.32%,83.68%,0.52%,11.49%,16.03%,71.96%,14986.1,132.9,51887.7,6340.9,27989.6,2118.7,118513.4,48800.7,-9.6,164.4,22281.9,25361.5,3327.2,22718.5,1276.0,26900.4,58619.0,1998.6,15008.4,27486.0,42949.4,39880.6,44005.2,40375.3,41165.2,40221.3,50140.3,43745.3,36390.7,40654.1,48.86%,35.73%,38.49%,36.19%,38.06%,35.77%,39.67%,38.08%,33.88%,35.76%,106.92%,97.38%,65.45%,99.71%,145.89%,97.35%,131.94%,63.63%,157.58%,70.92%,79.67%,48.94%,60.68%,60.41%,90.52%,45.66%,114.18%,57.65%,74.98%,46.67%
#29,0.12,100000,23142,47486,70628,48453,22175,399,47089,4095,19045,100.00%,23.14%,47.49%,70.63%,48.45%,22.18%,0.40%,47.09%,4.10%,19.04%,100.00%,32.77%,67.23%,70.63%,68.60%,31.40%,0.56%,66.67%,5.80%,26.97%,25259.9,143.7,28853.4,19446.4,27241.8,2413.1,65040.3,28545.4,20.8,170.5,10859.7,31346.9,1426.8,11230.5,1127.4,33305.8,66602.3,1167.0,16059.7,33914.2,48806.0,40316.3,42831.5,42007.4,42517.0,40893.7,49637.6,42777.7,36466.8,41134.1,52.50%,35.68%,37.47%,37.03%,37.53%,35.76%,42.85%,37.40%,34.84%,35.41%,145.85%,96.53%,41.88%,114.18%,42.99%,96.53%,74.01%,41.74%,200.95%,72.07%,100.96%,51.84%,55.12%,86.19%,56.56%,48.47%,88.85%,54.75%,96.41%,49.28%
#30,,100000,66736,9148,75884,12386,63498,363,8801,11785,54935,100.00%,66.74%,9.15%,75.88%,12.39%,63.50%,0.36%,8.80%,11.78%,54.94%,100.00%,87.94%,12.06%,75.88%,16.32%,83.68%,0.48%,11.60%,15.53%,72.39%,16448.9,135.1,51206.6,6291.9,28545.8,1951.0,112124.7,48603.4,-10.3,165.9,22240.8,24690.8,3079.4,22085.5,1273.8,26145.0,69902.3,1979.1,15097.5,26489.8,44273.4,40393.5,44340.4,40869.3,41634.7,40720.0,47492.4,44222.9,37036.5,41110.5,47.33%,35.66%,37.52%,35.99%,37.51%,35.67%,39.91%,37.31%,34.20%,35.61%,105.17%,96.53%,65.91%,98.87%,146.00%,96.61%,132.47%,64.27%,149.06%,71.20%,73.03%,48.87%,60.93%,59.81%,92.14%,45.47%,103.92%,58.42%,73.63%,46.77%
#31,0.24,100000,23942,48990,72932,49983,22949,1088,48708,2494,20642,100.00%,23.94%,48.99%,72.93%,49.98%,22.95%,1.09%,48.71%,2.49%,20.64%,100.00%,32.83%,67.17%,72.93%,68.53%,31.47%,1.49%,66.79%,3.42%,28.30%,27406.9,363.4,29090.0,19659.7,27597.8,2370.4,25532.2,28727.0,69.2,321.3,11358.2,30033.6,1300.4,10732.9,1107.8,31696.3,25655.3,1134.9,15771.7,31985.5,50986.5,40733.1,43180.2,42376.9,42917.9,41198.5,47982.7,43127.8,37396.3,40911.2,49.89%,35.94%,37.20%,36.91%,37.12%,36.14%,39.01%,37.10%,34.63%,35.89%,138.91%,87.68%,41.46%,112.12%,42.70%,87.63%,43.79%,41.44%,458.11%,75.67%,97.90%,52.13%,54.25%,85.86%,55.63%,48.30%,46.61%,54.00%,143.28%,49.01%
#32,,100000,68586,9107,77693,12537,65156,3870,8743,6324,58756,100.00%,68.59%,9.11%,77.69%,12.54%,65.16%,3.87%,8.74%,6.32%,58.76%,100.00%,88.28%,11.72%,77.69%,16.14%,83.86%,4.98%,11.25%,8.14%,75.63%,16340.9,444.2,51575.5,6437.7,28568.0,2179.5,11939.7,49375.6,41.1,374.6,22598.2,24562.1,2826.7,22014.3,1300.5,26000.0,19395.9,1904.7,13648.6,26079.5,44182.9,40514.6,44651.5,40999.5,41566.3,40890.5,47078.4,44424.6,36632.9,40559.5,45.81%,35.36%,38.12%,35.69%,37.35%,35.36%,35.36%,38.02%,33.94%,35.10%,105.58%,88.14%,64.38%,99.11%,144.73%,88.05%,28.70%,62.53%,593.85%,76.55%,70.92%,49.97%,60.34%,61.17%,91.78%,46.34%,43.55%,57.66%,146.04%,47.09%
#33,0,100000,25715,53542,79257,54570,24687,411,53203,4885,20758,100.00%,25.71%,53.54%,79.26%,54.57%,24.69%,0.41%,53.20%,4.88%,20.76%,100.00%,32.45%,67.55%,79.26%,68.85%,31.15%,0.52%,67.13%,6.16%,26.19%,24139.6,138.5,25216.1,17079.7,24197.2,1346.5,50333.9,24992.2,1.8,160.4,10443.4,27677.6,1125.8,9740.5,999.3,29062.8,29148.1,1016.4,16341.7,30162.9,52362.5,41440.8,43458.0,42803.5,43282.9,41743.9,51110.1,43396.0,38456.5,42143.5,44.24%,34.80%,35.88%,35.58%,35.91%,34.73%,39.51%,35.81%,34.25%,34.59%,134.60%,103.07%,40.56%,106.48%,41.61%,102.40%,67.89%,40.49%,135.19%,72.50%,92.33%,48.45%,52.72%,83.50%,54.23%,45.35%,99.08%,52.47%,64.71%,46.41%
#34,,100000,68754,8792,77546,11537,66009,216,8599,12443,56288,100.00%,68.75%,8.79%,77.55%,11.54%,66.01%,0.22%,8.60%,12.44%,56.29%,100.00%,88.66%,11.34%,77.55%,14.88%,85.12%,0.28%,11.09%,16.05%,72.59%,13262.0,128.4,43652.1,5063.0,27429.2,1153.9,112260.3,41819.4,-23.6,160.9,21076.0,23280.6,2087.1,20877.7,1110.7,24332.6,51567.1,1543.8,15250.1,24957.6,46626.4,41600.0,44820.4,41965.1,42774.1,41823.7,48240.0,44722.2,37921.1,42413.7,45.54%,35.16%,37.11%,35.39%,36.92%,35.12%,44.49%,36.98%,34.06%,35.00%,106.77%,99.55%,61.21%,100.65%,123.41%,99.99%,130.89%,60.20%,131.42%,71.36%,69.98%,45.53%,55.95%,54.77%,81.32%,43.03%,124.84%,54.79%,57.35%,43.91%
#35,0.06,65740,15427,30921,46348,31702,14646,114,30831,2534,12869,100.00%,23.47%,47.04%,70.50%,48.22%,22.28%,0.17%,46.90%,3.85%,19.58%,100.00%,33.29%,66.71%,70.50%,68.40%,31.60%,0.25%,66.52%,5.47%,27.77%,24690.7,152.8,28094.6,18794.2,26963.0,1112.3,59625.5,27958.6,3.7,176.7,10054.8,27605.6,1069.4,9902.0,997.4,29176.5,57226.9,1011.1,15403.1,29700.1,51891.8,41614.2,43916.8,43150.3,43732.4,41890.5,49592.8,43893.5,37753.4,42375.5,49.81%,35.11%,35.52%,35.45%,35.53%,35.27%,49.61%,35.48%,32.00%,35.43%,145.08%,91.24%,38.82%,106.51%,40.20%,90.76%,83.27%,38.75%,181.46%,68.65%,100.10%,49.16%,55.79%,87.54%,57.38%,45.61%,95.54%,55.72%,80.81%,46.52%
#36,,100000,63768,8228,71996,11250,60746,177,8071,10718,53030,100.00%,63.77%,8.23%,72.00%,11.25%,60.75%,0.18%,8.07%,10.72%,53.03%,100.00%,88.57%,11.43%,72.00%,15.63%,84.37%,0.25%,11.21%,14.89%,73.66%,14293.7,140.5,47436.9,5545.7,28603.3,1275.5,119164.0,45752.9,-19.6,171.9,20687.3,23178.0,2066.5,20765.3,1203.1,24388.2,77081.4,1561.9,14827.8,24700.1,45020.0,41469.1,44775.0,41846.9,42410.1,41742.7,48978.1,44688.3,37967.8,42174.7,47.86%,34.53%,36.38%,34.83%,36.64%,34.54%,36.47%,36.25%,32.50%,34.53%,104.93%,94.86%,61.14%,97.17%,145.34%,94.41%,129.50%,60.24%,135.87%,69.53%,73.78%,47.80%,60.25%,58.44%,86.94%,44.67%,105.01%,59.36%,67.18%,45.75%
#37,0.09,100000,24179,49736,73915,50593,23322,251,49525,3835,20304,100.00%,24.18%,49.74%,73.91%,50.59%,23.32%,0.25%,49.52%,3.84%,20.30%,100.00%,32.71%,67.29%,73.91%,68.45%,31.55%,0.34%,67.00%,5.19%,27.47%,26034.2,150.3,28327.4,19110.2,27329.0,1280.9,59600.5,28148.3,-11.7,175.7,9858.0,26651.0,1096.3,9455.7,979.0,27844.5,41380.6,990.3,16349.9,28407.4,50347.9,41090.7,43244.1,42539.7,43089.0,41347.9,51852.0,43199.7,37839.5,41702.4,46.44%,33.85%,34.76%,34.63%,34.67%,34.24%,43.13%,34.69%,31.82%,33.97%,137.51%,93.72%,39.59%,103.80%,40.56%,93.04%,58.81%,39.57%,132.73%,70.07%,96.60%,49.10%,55.39%,86.27%,56.56%,46.48%,87.93%,55.25%,62.86%,47.50%
#38,,100000,67333,8334,75667,11311,64356,163,8194,10639,56671,100.00%,67.33%,8.33%,75.67%,11.31%,64.36%,0.16%,8.19%,10.64%,56.67%,100.00%,88.99%,11.01%,75.67%,14.95%,85.05%,0.22%,10.83%,14.06%,74.90%,13603.8,144.8,46560.4,5257.1,28429.7,1184.3,123285.9,44909.9,-18.1,174.6,21317.6,23342.9,1979.5,20989.9,1199.0,24468.3,109161.8,1533.4,15204.0,24635.7,45940.0,41234.8,44387.0,41582.0,42205.8,41472.4,50198.5,44282.6,37795.2,41877.7,44.94%,34.11%,35.82%,34.31%,35.28%,34.15%,44.38%,35.64%,32.49%,34.22%,100.53%,92.23%,59.61%,94.19%,140.17%,92.29%,138.50%,59.03%,138.27%,69.97%,65.85%,46.81%,58.95%,56.47%,85.98%,44.03%,104.96%,58.12%,63.36%,45.09%
#39,0.12,100000,23003,46771,69774,47976,21798,202,46604,4052,18916,100.00%,23.00%,46.77%,69.77%,47.98%,21.80%,0.20%,46.60%,4.05%,18.92%,100.00%,32.97%,67.03%,69.77%,68.76%,31.24%,0.29%,66.79%,5.81%,27.11%,25349.9,149.6,28829.9,19374.6,27664.8,1128.6,42328.7,28751.6,-3.0,177.9,9679.7,26182.0,1040.0,9328.8,952.5,27764.5,38819.5,969.2,16136.1,28151.6,51128.6,41431.7,43955.3,43123.3,43720.0,41810.1,48436.4,43934.7,38223.0,42117.4,50.24%,34.21%,35.60%,35.38%,35.69%,34.14%,42.29%,35.56%,33.06%,34.31%,145.36%,96.47%,39.59%,106.67%,40.87%,96.37%,74.53%,39.55%,165.22%,71.42%,100.58%,51.41%,56.79%,88.27%,58.44%,47.33%,84.89%,56.58%,79.95%,49.01%
#40,,100000,66240,8317,74557,11365,63192,234,8174,9975,56174,100.00%,66.24%,8.32%,74.56%,11.37%,63.19%,0.23%,8.17%,9.97%,56.17%,100.00%,88.84%,11.16%,74.56%,15.24%,84.76%,0.31%,10.96%,13.38%,75.34%,14391.0,161.4,46580.9,5339.6,28854.1,1110.5,80190.6,45126.1,-15.9,189.3,21154.8,23213.3,1954.4,20841.8,1185.6,24376.9,82068.4,1483.6,15342.6,24380.1,46332.8,41477.0,44702.4,41836.8,42462.6,41724.3,50675.0,44568.2,37847.0,42111.0,46.13%,34.62%,36.43%,34.88%,36.04%,34.64%,40.34%,36.22%,32.86%,34.58%,97.09%,88.50%,57.94%,91.68%,136.54%,88.25%,128.74%,57.29%,142.84%,68.35%,66.63%,46.73%,58.28%,56.52%,85.55%,43.84%,99.58%,57.25%,66.91%,45.13%
#41,0.24,100000,13506,56867,70373,48307,22066,7732,47182,1265,14194,100.00%,13.51%,56.87%,70.37%,48.31%,22.07%,7.73%,47.18%,1.26%,14.19%,100.00%,19.19%,80.81%,70.37%,68.64%,31.36%,10.99%,67.05%,1.80%,20.17%,27050.6,335.2,26850.3,21761.5,30322.9,3019.1,5493.0,31407.8,120.3,487.2,9517.3,33233.0,3963.8,9581.1,1015.9,28332.2,18328.6,1030.0,11445.2,33074.5,51751.4,43069.3,45998.8,45436.6,46066.2,44058.3,45755.1,46242.0,39892.2,43080.0,49.55%,33.40%,35.20%,34.94%,35.29%,34.12%,34.56%,35.26%,33.18%,33.37%,125.90%,75.07%,53.14%,103.09%,41.38%,119.82%,48.20%,40.20%,405.18%,80.05%,99.39%,47.41%,65.83%,86.84%,56.59%,49.03%,42.73%,55.24%,185.14%,45.81%
#42,,100000,32155,39501,71656,11146,60510,25807,7790,3348,34711,100.00%,32.16%,39.50%,71.66%,11.15%,60.51%,25.81%,7.79%,3.35%,34.71%,100.00%,44.87%,55.13%,71.66%,15.55%,84.45%,36.02%,10.87%,4.67%,48.44%,15369.2,338.2,12709.1,7157.8,29802.2,2986.7,4466.2,48651.7,105.0,527.0,19637.4,28975.1,13142.7,20247.3,1253.8,23745.9,15802.2,1603.5,9981.7,28726.4,44609.2,41476.9,43703.3,42704.3,43301.0,42594.3,43921.8,45936.4,38347.8,41493.9,48.15%,33.77%,35.30%,34.61%,36.62%,34.24%,34.45%,36.96%,32.47%,33.90%,131.61%,79.49%,71.74%,127.40%,128.51%,123.51%,46.39%,58.17%,288.92%,87.58%,79.08%,45.64%,62.06%,62.86%,89.67%,48.13%,42.23%,59.47%,226.35%,43.72%
#43,0,100000,24516,52114,76630,52920,23710,241,51790,4282,20317,100.00%,24.52%,52.11%,76.63%,52.92%,23.71%,0.24%,51.79%,4.28%,20.32%,100.00%,31.99%,68.01%,76.63%,69.06%,30.94%,0.31%,67.58%,5.59%,26.51%,22124.1,131.8,24596.7,16769.8,23982.2,671.8,35311.1,24583.8,-0.2,165.6,8664.6,24161.3,995.4,8406.8,862.0,25246.4,40435.8,867.9,15320.7,25786.9,49539.1,41614.3,43845.9,43131.9,43731.9,41792.8,52199.2,43813.3,38756.9,42209.6,43.82%,32.64%,34.34%,33.96%,34.33%,32.70%,40.14%,34.30%,30.48%,33.03%,134.30%,99.46%,39.81%,101.68%,40.66%,98.59%,53.29%,39.69%,130.81%,71.53%,94.85%,45.57%,55.80%,85.08%,56.89%,43.38%,90.36%,55.51%,59.55%,44.22%
#44,,100000,69094,9031,78125,11113,67012,156,8847,12139,56983,100.00%,69.09%,9.03%,78.13%,11.11%,67.01%,0.16%,8.85%,12.14%,56.98%,100.00%,88.44%,11.56%,78.13%,14.22%,85.78%,0.20%,11.32%,15.54%,72.94%,12243.6,126.8,40559.1,4800.7,28243.7,913.0,101364.6,39610.7,-31.6,161.2,19535.9,21623.9,2781.5,19445.8,953.8,22512.4,87733.7,1272.7,15196.3,22985.5,45425.2,42031.2,45005.3,42375.0,43546.9,42180.7,51029.2,44898.8,38931.5,42693.1,41.73%,33.01%,35.27%,33.34%,34.67%,33.10%,37.58%,35.16%,31.00%,33.19%,105.16%,99.59%,59.79%,100.95%,88.96%,99.63%,128.94%,59.08%,120.48%,70.62%,61.50%,44.29%,58.45%,53.45%,77.59%,42.55%,105.29%,57.12%,52.60%,43.21%
#45,0.06,100000,24429,50552,74981,51402,23579,207,50297,4480,19997,100.00%,24.43%,50.55%,74.98%,51.40%,23.58%,0.21%,50.30%,4.48%,20.00%,100.00%,32.58%,67.42%,74.98%,68.55%,31.45%,0.28%,67.08%,5.97%,26.67%,23698.2,127.5,26773.0,18091.8,25964.6,929.3,49960.7,26701.6,-6.9,161.2,8587.5,23723.3,986.4,8394.1,849.2,24841.9,40805.5,866.6,15651.8,25366.2,50982.3,42260.7,44575.9,43821.6,44426.7,42502.5,54265.3,44538.2,39578.2,42861.7,45.28%,32.95%,34.99%,34.38%,34.86%,33.15%,37.97%,34.94%,31.64%,33.33%,144.58%,100.23%,39.77%,106.17%,40.56%,100.23%,61.07%,39.68%,140.28%,72.26%,96.74%,46.62%,55.72%,86.22%,57.04%,44.31%,63.29%,55.48%,63.29%,44.93%
#46,,100000,70407,8176,78583,10849,67734,113,8037,13139,57294,100.00%,70.41%,8.18%,78.58%,10.85%,67.73%,0.11%,8.04%,13.14%,57.29%,100.00%,89.60%,10.40%,78.58%,13.81%,86.19%,0.14%,10.23%,16.72%,72.91%,11519.3,120.9,38016.3,4063.7,26196.9,518.6,86435.1,37454.0,-32.7,156.7,19495.3,20199.7,2048.5,18311.2,914.1,21097.7,69327.8,1095.6,14655.2,21463.9,44611.8,39397.9,41823.9,39650.3,40226.6,39558.0,46236.8,41774.8,36622.8,40033.6,42.00%,33.73%,34.91%,33.85%,34.96%,33.70%,35.25%,34.77%,32.63%,33.58%,104.68%,102.19%,57.39%,103.10%,115.38%,102.27%,131.42%,56.65%,122.64%,71.65%,60.62%,44.28%,58.68%,52.49%,82.62%,42.12%,86.49%,58.01%,53.99%,42.85%
#47,0.09,100000,25027,50485,75512,51351,24161,186,50231,4308,20787,100.00%,25.03%,50.48%,75.51%,51.35%,24.16%,0.19%,50.23%,4.31%,20.79%,100.00%,33.14%,66.86%,75.51%,68.00%,32.00%,0.25%,66.52%,5.71%,27.53%,24495.4,135.9,26625.4,17846.0,25908.7,709.7,42594.3,26600.3,-3.6,169.4,8248.3,22219.5,947.8,7997.9,790.8,23315.7,50288.0,799.1,14615.0,23643.9,51417.7,41195.1,43448.7,42701.8,43302.8,41424.5,53210.3,43419.5,38210.9,41804.2,44.62%,33.30%,34.88%,34.49%,34.74%,33.49%,34.54%,34.81%,31.86%,33.53%,142.91%,96.06%,39.57%,108.82%,40.36%,95.82%,60.25%,39.45%,140.37%,70.27%,100.05%,47.54%,58.81%,90.66%,60.37%,44.89%,62.21%,58.59%,64.05%,45.85%
#48,,100000,70352,8381,78733,10453,68280,155,8172,12020,58386,100.00%,70.35%,8.38%,78.73%,10.45%,68.28%,0.16%,8.17%,12.02%,58.39%,100.00%,89.36%,10.64%,78.73%,13.28%,86.72%,0.20%,10.38%,15.27%,74.16%,11979.2,129.5,38995.5,4266.7,28074.5,622.0,65848.1,38735.0,-34.9,164.5,19599.1,20642.7,2446.1,18705.7,904.9,21430.8,69874.5,1143.1,15376.2,21713.4,45208.9,40777.2,43336.9,41049.7,41918.2,40916.7,50456.3,43206.9,37915.3,41368.0,41.86%,33.55%,34.83%,33.67%,34.72%,33.55%,35.61%,34.80%,32.08%,33.56%,102.78%,98.64%,55.10%,100.00%,85.71%,98.65%,126.85%,54.34%,119.89%,70.87%,60.02%,44.21%,59.00%,52.26%,79.98%,42.57%,96.91%,57.45%,50.85%,43.35%
#49,0.12,100000,25392,51724,77116,52126,24990,488,51067,3309,22252,100.00%,25.39%,51.72%,77.12%,52.13%,24.99%,0.49%,51.07%,3.31%,22.25%,100.00%,32.93%,67.07%,77.12%,67.59%,32.41%,0.63%,66.22%,4.29%,28.86%,24788.7,180.0,26940.9,18129.3,26355.5,970.6,19168.0,27099.1,18.5,214.7,8686.1,22864.1,1013.5,8208.2,802.4,23655.8,18937.6,821.2,14372.3,24009.1,50877.2,40867.4,42959.1,42270.4,42806.7,41151.8,49299.2,42909.8,37306.6,41387.0,44.13%,33.41%,34.84%,34.29%,34.70%,33.66%,35.75%,34.76%,31.39%,33.45%,138.96%,84.33%,40.34%,111.59%,40.82%,83.92%,67.15%,39.83%,187.56%,68.07%,97.63%,45.79%,57.43%,89.09%,58.31%,44.09%,63.74%,56.86%,78.97%,44.54%
#50,,100000,70537,10585,81122,11030,70092,1403,8636,8766,62317,100.00%,70.54%,10.59%,81.12%,11.03%,70.09%,1.40%,8.64%,8.77%,62.32%,100.00%,86.95%,13.05%,81.12%,13.60%,86.40%,1.73%,10.65%,10.81%,76.82%,12424.5,178.7,33294.9,4499.8,28499.6,723.1,10757.5,38966.1,-14.5,217.5,19729.3,21032.9,2839.8,18659.0,896.1,21454.2,12178.5,1132.0,14684.4,21792.9,46444.2,41360.8,43946.1,41698.2,42365.1,41593.2,45905.7,43802.9,38016.9,41829.6,40.19%,33.03%,35.02%,33.34%,35.03%,33.09%,33.23%,35.44%,31.28%,33.09%,92.91%,83.69%,73.18%,88.86%,85.30%,83.98%,42.21%,55.17%,153.98%,68.87%,60.35%,42.96%,69.46%,52.58%,78.83%,42.30%,44.41%,56.70%,59.51%,42.39%
#51,0.24,100000,7628,70132,77760,53000,24760,17378,52133,1080,7169,100.00%,7.63%,70.13%,77.76%,53.00%,24.76%,17.38%,52.13%,1.08%,7.17%,100.00%,9.81%,90.19%,77.76%,68.16%,31.84%,22.35%,67.04%,1.39%,9.22%,27075.1,377.9,22238.9,20094.4,27136.1,5021.3,6136.3,27854.2,185.4,499.6,7714.2,34409.2,4415.0,7357.4,805.1,21382.9,14798.5,826.7,6502.3,36940.0,53944.2,41890.9,44357.7,44115.7,44488.4,43318.1,43806.5,44604.6,39875.1,41948.8,42.90%,31.98%,34.18%,33.99%,34.33%,33.31%,33.48%,34.37%,30.18%,32.11%,95.43%,82.29%,64.84%,84.29%,40.23%,108.55%,55.75%,39.38%,183.20%,83.07%,94.80%,49.13%,74.60%,85.89%,56.25%,57.22%,46.36%,55.01%,222.13%,43.99%
#52,,100000,17243,64279,81522,11278,70244,53980,8756,2228,16558,100.00%,17.24%,64.28%,81.52%,11.28%,70.24%,53.98%,8.76%,2.23%,16.56%,100.00%,21.15%,78.85%,81.52%,13.83%,86.17%,66.22%,10.74%,2.73%,20.31%,16401.1,414.5,10871.6,8659.8,28965.1,5399.7,6321.3,40585.1,160.1,544.7,16405.1,30719.7,11948.1,15918.5,911.2,18328.0,13508.9,1153.6,4528.4,33114.4,47816.9,41763.4,43614.5,43222.9,43247.3,43219.0,43571.7,44828.3,39112.1,41790.3,40.06%,32.44%,33.26%,33.16%,34.78%,32.89%,32.90%,34.85%,31.61%,32.59%,106.02%,80.55%,62.20%,95.80%,85.50%,88.20%,52.72%,53.54%,129.61%,83.74%,78.33%,48.08%,61.36%,70.66%,77.39%,56.64%,48.51%,54.88%,257.59%,42.36%
#53,0,100000,23669,48185,71854,48806,23048,151,48022,4182,19499,100.00%,23.67%,48.18%,71.85%,48.81%,23.05%,0.15%,48.02%,4.18%,19.50%,100.00%,32.94%,67.06%,71.85%,67.92%,32.08%,0.21%,66.83%,5.82%,27.14%,20748.6,133.5,24167.1,16250.3,23597.9,691.2,34094.9,24141.5,-24.4,168.2,7605.8,21366.4,815.1,7584.7,738.2,22082.8,19853.6,754.4,14534.0,22821.1,49727.5,42307.9,43872.4,43357.1,43765.4,42492.5,54114.4,43842.3,39419.6,42923.1,48.35%,35.25%,36.01%,35.84%,35.95%,35.46%,33.33%,36.00%,33.37%,35.41%,136.85%,98.57%,39.19%,105.07%,39.90%,98.20%,62.00%,39.12%,127.05%,71.04%,96.50%,44.45%,57.25%,87.47%,58.28%,42.88%,65.73%,57.11%,52.66%,43.32%
